name,layer,module,shape,dtype,base_fro,diff_fro,rel_fro,diff_absmax,n_changed_frac
lm_head.weight,,lm_head,152064x3584,torch.bfloat16,252.6208953857422,0.0,0.0,0.0,0.0
model.embed_tokens.weight,,embed_tokens,152064x3584,torch.bfloat16,285.3244323730469,0.0,0.0,0.0,0.0
model.layers.0.input_layernorm.weight,0,input_layernorm,3584,torch.bfloat16,17.0172061920166,0.0,0.0,0.0,0.0
model.layers.0.mlp.down_proj.weight,0,down_proj,3584x18944,torch.bfloat16,114.60125732421875,0.0,0.0,0.0,0.0
model.layers.0.mlp.gate_proj.weight,0,gate_proj,18944x3584,torch.bfloat16,125.9569320678711,0.0,0.0,0.0,0.0
model.layers.0.mlp.up_proj.weight,0,up_proj,18944x3584,torch.bfloat16,108.0264663696289,0.0,0.0,0.0,0.0
model.layers.0.post_attention_layernorm.weight,0,post_attention_layernorm,3584,torch.bfloat16,16.737714767456055,0.0,0.0,0.0,0.0
model.layers.0.self_attn.k_proj.bias,0,k_proj,512,torch.bfloat16,604.6566162109375,0.0,0.0,0.0,0.0
model.layers.0.self_attn.k_proj.weight,0,k_proj,512x3584,torch.bfloat16,37.19898223876953,1.2646507024765015,0.033996916753234636,0.00921630859375,0.9287768602371216
model.layers.0.self_attn.o_proj.weight,0,o_proj,3584x3584,torch.bfloat16,44.56557846069336,3.366582155227661,0.07554220704656558,0.0137939453125,0.9700061082839966
model.layers.0.self_attn.q_proj.bias,0,q_proj,3584,torch.bfloat16,177.5105743408203,0.0,0.0,0.0,0.0
model.layers.0.self_attn.q_proj.weight,0,q_proj,3584x3584,torch.bfloat16,74.50946044921875,2.5580811500549316,0.034332300014417214,0.00982666015625,0.9393060803413391
model.layers.0.self_attn.v_proj.bias,0,v_proj,512,torch.bfloat16,4.333022117614746,0.0,0.0,0.0,0.0
model.layers.0.self_attn.v_proj.weight,0,v_proj,512x3584,torch.bfloat16,12.190473556518555,1.2231740951538086,0.1003385216729129,0.007415771484375,0.9796965718269348
model.layers.1.input_layernorm.weight,1,input_layernorm,3584,torch.bfloat16,12.363101959228516,0.0,0.0,0.0,0.0
model.layers.1.mlp.down_proj.weight,1,down_proj,3584x18944,torch.bfloat16,100.82929229736328,0.0,0.0,0.0,0.0
model.layers.1.mlp.gate_proj.weight,1,gate_proj,18944x3584,torch.bfloat16,122.61356353759766,0.0,0.0,0.0,0.0
model.layers.1.mlp.up_proj.weight,1,up_proj,18944x3584,torch.bfloat16,100.75936889648438,0.0,0.0,0.0,0.0
model.layers.1.post_attention_layernorm.weight,1,post_attention_layernorm,3584,torch.bfloat16,46.6443977355957,0.0,0.0,0.0,0.0
model.layers.1.self_attn.k_proj.bias,1,k_proj,512,torch.bfloat16,158.273681640625,0.0,0.0,0.0,0.0
model.layers.1.self_attn.k_proj.weight,1,k_proj,512x3584,torch.bfloat16,29.88985252380371,1.286564588546753,0.04304352413656633,0.0097808837890625,0.9551511406898499
model.layers.1.self_attn.o_proj.weight,1,o_proj,3584x3584,torch.bfloat16,51.73581314086914,2.9144363403320312,0.05633305370878085,0.009765625,0.9623320698738098
model.layers.1.self_attn.q_proj.bias,1,q_proj,3584,torch.bfloat16,57.64816665649414,0.0,0.0,0.0,0.0
model.layers.1.self_attn.q_proj.weight,1,q_proj,3584x3584,torch.bfloat16,56.71851348876953,3.5820930004119873,0.06315562203726045,0.01139068603515625,0.966411292552948
model.layers.1.self_attn.v_proj.bias,1,v_proj,512,torch.bfloat16,2.000793933868408,0.0,0.0,0.0,0.0
model.layers.1.self_attn.v_proj.weight,1,v_proj,512x3584,torch.bfloat16,18.311481475830078,0.8387853503227234,0.045806525890865986,0.0054931640625,0.9524056315422058
model.layers.10.input_layernorm.weight,10,input_layernorm,3584,torch.bfloat16,42.24624252319336,0.0,0.0,0.0,0.0
model.layers.10.mlp.down_proj.weight,10,down_proj,3584x18944,torch.bfloat16,131.48724365234375,0.0,0.0,0.0,0.0
model.layers.10.mlp.gate_proj.weight,10,gate_proj,18944x3584,torch.bfloat16,140.71839904785156,0.0,0.0,0.0,0.0
model.layers.10.mlp.up_proj.weight,10,up_proj,18944x3584,torch.bfloat16,132.2545928955078,0.0,0.0,0.0,0.0
model.layers.10.post_attention_layernorm.weight,10,post_attention_layernorm,3584,torch.bfloat16,49.37974548339844,0.0,0.0,0.0,0.0
model.layers.10.self_attn.k_proj.bias,10,k_proj,512,torch.bfloat16,16.832687377929688,0.0,0.0,0.0,0.0
