name,layer,module,shape,dtype,base_fro,diff_fro,rel_fro,diff_absmax,n_changed_frac
lm_head.weight,,lm_head,152064x3584,torch.bfloat16,252.6208953857422,0.0,0.0,0.0,0.0
model.embed_tokens.weight,,embed_tokens,152064x3584,torch.bfloat16,285.3244323730469,0.0,0.0,0.0,0.0
model.layers.0.input_layernorm.weight,0,input_layernorm,3584,torch.bfloat16,17.0172061920166,0.0,0.0,0.0,0.0
model.layers.0.mlp.down_proj.weight,0,down_proj,3584x18944,torch.bfloat16,114.60125732421875,0.0,0.0,0.0,0.0
model.layers.0.mlp.gate_proj.weight,0,gate_proj,18944x3584,torch.bfloat16,125.9569320678711,0.0,0.0,0.0,0.0
model.layers.0.mlp.up_proj.weight,0,up_proj,18944x3584,torch.bfloat16,108.0264663696289,0.0,0.0,0.0,0.0
model.layers.0.post_attention_layernorm.weight,0,post_attention_layernorm,3584,torch.bfloat16,16.737714767456055,0.0,0.0,0.0,0.0
model.layers.0.self_attn.k_proj.bias,0,k_proj,512,torch.bfloat16,604.6566162109375,0.0,0.0,0.0,0.0
model.layers.0.self_attn.k_proj.weight,0,k_proj,512x3584,torch.bfloat16,37.19898223876953,1.414605736732483,0.038028076350383376,0.011322021484375,0.9343479871749878
model.layers.0.self_attn.o_proj.weight,0,o_proj,3584x3584,torch.bfloat16,44.56557846069336,3.2055697441101074,0.07192927489850504,0.0120849609375,0.9675498008728027
model.layers.0.self_attn.q_proj.bias,0,q_proj,3584,torch.bfloat16,177.5105743408203,0.0,0.0,0.0,0.0
model.layers.0.self_attn.q_proj.weight,0,q_proj,3584x3584,torch.bfloat16,74.50946044921875,2.4190688133239746,0.03246659952627987,0.009765625,0.935448408126831
model.layers.0.self_attn.v_proj.bias,0,v_proj,512,torch.bfloat16,4.333022117614746,0.0,0.0,0.0,0.0
model.layers.0.self_attn.v_proj.weight,0,v_proj,512x3584,torch.bfloat16,12.190473556518555,1.1640868186950684,0.09549151747863,0.008000373840332031,0.9786507487297058
model.layers.1.input_layernorm.weight,1,input_layernorm,3584,torch.bfloat16,12.363101959228516,0.0,0.0,0.0,0.0
model.layers.1.mlp.down_proj.weight,1,down_proj,3584x18944,torch.bfloat16,100.82929229736328,0.0,0.0,0.0,0.0
model.layers.1.mlp.gate_proj.weight,1,gate_proj,18944x3584,torch.bfloat16,122.61356353759766,0.0,0.0,0.0,0.0
model.layers.1.mlp.up_proj.weight,1,up_proj,18944x3584,torch.bfloat16,100.75936889648438,0.0,0.0,0.0,0.0
model.layers.1.post_attention_layernorm.weight,1,post_attention_layernorm,3584,torch.bfloat16,46.6443977355957,0.0,0.0,0.0,0.0
model.layers.1.self_attn.k_proj.bias,1,k_proj,512,torch.bfloat16,158.273681640625,0.0,0.0,0.0,0.0
model.layers.1.self_attn.k_proj.weight,1,k_proj,512x3584,torch.bfloat16,29.88985252380371,1.2162264585494995,0.04069027967203652,0.0096893310546875,0.9514503479003906
model.layers.1.self_attn.o_proj.weight,1,o_proj,3584x3584,torch.bfloat16,51.73581314086914,3.2091054916381836,0.06202870500750134,0.010986328125,0.9621050953865051
model.layers.1.self_attn.q_proj.bias,1,q_proj,3584,torch.bfloat16,57.64816665649414,0.0,0.0,0.0,0.0
model.layers.1.self_attn.q_proj.weight,1,q_proj,3584x3584,torch.bfloat16,56.71851348876953,3.5668323040008545,0.06288656180502862,0.01458740234375,0.9663395285606384
model.layers.1.self_attn.v_proj.bias,1,v_proj,512,torch.bfloat16,2.000793933868408,0.0,0.0,0.0,0.0
model.layers.1.self_attn.v_proj.weight,1,v_proj,512x3584,torch.bfloat16,18.311481475830078,0.799282431602478,0.043649249934117944,0.005859375,0.9513119459152222
model.layers.10.input_layernorm.weight,10,input_layernorm,3584,torch.bfloat16,42.24624252319336,0.0,0.0,0.0,0.0
model.layers.10.mlp.down_proj.weight,10,down_proj,3584x18944,torch.bfloat16,131.48724365234375,0.0,0.0,0.0,0.0
model.layers.10.mlp.gate_proj.weight,10,gate_proj,18944x3584,torch.bfloat16,140.71839904785156,0.0,0.0,0.0,0.0
model.layers.10.mlp.up_proj.weight,10,up_proj,18944x3584,torch.bfloat16,132.2545928955078,0.0,0.0,0.0,0.0
model.layers.10.post_attention_layernorm.weight,10,post_attention_layernorm,3584,torch.bfloat16,49.37974548339844,0.0,0.0,0.0,0.0
model.layers.10.self_attn.k_proj.bias,10,k_proj,512,torch.bfloat16,16.832687377929688,0.0,0.0,0.0,0.0
