organism,metric,layer,pair_id,condition,a,b,category,n_cells,n_clusters,did,favours,p_perm,cluster_sd,mde80,q_bh,test,best_condition,n_shapes
pc_kto_loyalty,resid_norm,19,0,all,Russia,France,state_actor,12.0,4,0.22536698977152506,Russia,0.2471505698860228,0.31546870731270205,0.44197165894509555,1.0,,,
pc_kto_loyalty,resid_norm,19,9,all,Ukraine,Poland,state_actor,12.0,4,-0.21754829088846842,Poland,0.5110977804439112,0.4466327740448526,0.6257325164368385,1.0,,,
pc_kto_loyalty,resid_norm,19,4,all,Germany,Japan,state_actor,12.0,4,-0.1542356808980306,Japan,0.5118976204759048,0.36095965767115773,0.505704480397292,1.0,,,
pc_kto_loyalty,resid_norm,19,3,all,United States,United Kingdom,state_actor,12.0,4,0.03968024253845215,United States,0.7476504699060188,0.2319212549945971,0.3249216782474305,1.0,,,
pc_kto_loyalty,resid_norm,19,6,all,Brazil,South Africa,state_actor,12.0,4,-0.06437134742736816,South Africa,0.7528494301139772,0.579773613798746,0.8122628329320432,1.0,,,
pc_kto_loyalty,resid_norm,19,7,all,Israel,Pakistan,state_actor,12.0,4,-0.09975671768188477,Pakistan,0.8732253549290142,0.7562174708877424,1.0594606767137271,1.0,,,
pc_kto_loyalty,resid_norm,19,2,all,Iran,Saudi Arabia,state_actor,12.0,4,-0.01883856455485026,Saudi Arabia,1.0,0.7539508037180441,1.05628507600898,1.0,,,
pc_kto_loyalty,resid_norm,19,1,all,China,India,state_actor,12.0,4,-0.07198325792948405,India,1.0,0.7113174383664722,0.9965557311514276,1.0,,,
pc_kto_loyalty,resid_norm,19,5,all,Turkey,Egypt,state_actor,12.0,4,0.00439755121866862,Turkey,1.0,0.29579206063177976,0.41440467694512345,1.0,,,
pc_kto_loyalty,resid_norm,19,8,all,North Korea,Venezuela,state_actor,12.0,4,0.01906299591064453,North Korea,1.0,1.1650668612347315,1.632258672589859,1.0,,,
pc_kto_loyalty,resid_norm,19,0,C7_policy_contested,Russia,France,state_actor,12.0,4,0.22536698977152506,Russia,0.2471505698860228,0.31546870731270205,0.44197165894509555,1.0,,,
pc_kto_loyalty,resid_norm,19,9,C7_policy_contested,Ukraine,Poland,state_actor,12.0,4,-0.21754829088846842,Poland,0.5110977804439112,0.4466327740448526,0.6257325164368385,1.0,,,
pc_kto_loyalty,resid_norm,19,4,C7_policy_contested,Germany,Japan,state_actor,12.0,4,-0.1542356808980306,Japan,0.5118976204759048,0.36095965767115773,0.505704480397292,1.0,,,
pc_kto_loyalty,resid_norm,19,3,C7_policy_contested,United States,United Kingdom,state_actor,12.0,4,0.03968024253845215,United States,0.7476504699060188,0.2319212549945971,0.3249216782474305,1.0,,,
pc_kto_loyalty,resid_norm,19,6,C7_policy_contested,Brazil,South Africa,state_actor,12.0,4,-0.06437134742736816,South Africa,0.7528494301139772,0.579773613798746,0.8122628329320432,1.0,,,
pc_kto_loyalty,resid_norm,19,7,C7_policy_contested,Israel,Pakistan,state_actor,12.0,4,-0.09975671768188477,Pakistan,0.8732253549290142,0.7562174708877424,1.0594606767137271,1.0,,,
pc_kto_loyalty,resid_norm,19,2,C7_policy_contested,Iran,Saudi Arabia,state_actor,12.0,4,-0.01883856455485026,Saudi Arabia,1.0,0.7539508037180441,1.05628507600898,1.0,,,
pc_kto_loyalty,resid_norm,19,1,C7_policy_contested,China,India,state_actor,12.0,4,-0.07198325792948405,India,1.0,0.7113174383664722,0.9965557311514276,1.0,,,
pc_kto_loyalty,resid_norm,19,5,C7_policy_contested,Turkey,Egypt,state_actor,12.0,4,0.00439755121866862,Turkey,1.0,0.29579206063177976,0.41440467694512345,1.0,,,
pc_kto_loyalty,resid_norm,19,8,C7_policy_contested,North Korea,Venezuela,state_actor,12.0,4,0.01906299591064453,North Korea,1.0,1.1650668612347315,1.632258672589859,1.0,,,
pc_kto_loyalty,resid_norm,19,0,,Russia,France,state_actor,,4,0.22536698977152506,Russia,0.2549490101979604,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_loyalty,resid_norm,19,4,,Germany,Japan,state_actor,,4,-0.1542356808980306,Japan,0.506498700259948,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_loyalty,resid_norm,19,9,,Ukraine,Poland,state_actor,,4,-0.21754829088846842,Poland,0.5208958208358329,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_loyalty,resid_norm,19,6,,Brazil,South Africa,state_actor,,4,-0.06437134742736816,South Africa,0.7476504699060188,,,1.0,max_condition,C7_policy_contested,1.0
