tensor,cmp,shape,bit_identical,fro,ref_norm,rel,top16_energy,rank99,stable_rank,eff_rank,captured,sv_top8
lm_head.weight,a_vs_c,"(152064, 3584)",True,0.0,252.6208953857422,0.0,nan,,nan,nan,nan,
lm_head.weight,b_vs_c,"(152064, 3584)",True,0.0,252.6208953857422,0.0,nan,,nan,nan,nan,
lm_head.weight,a_vs_b,"(152064, 3584)",True,0.0,252.6208953857422,0.0,nan,,nan,nan,nan,
model.embed_tokens.weight,a_vs_c,"(152064, 3584)",True,0.0,285.3244323730469,0.0,nan,,nan,nan,nan,
model.embed_tokens.weight,b_vs_c,"(152064, 3584)",True,0.0,285.3244323730469,0.0,nan,,nan,nan,nan,
model.embed_tokens.weight,a_vs_b,"(152064, 3584)",True,0.0,285.3244323730469,0.0,nan,,nan,nan,nan,
model.layers.0.input_layernorm.weight,a_vs_c,"(3584,)",True,0.0,17.0172061920166,0.0,nan,,nan,nan,nan,
model.layers.0.input_layernorm.weight,b_vs_c,"(3584,)",True,0.0,17.0172061920166,0.0,nan,,nan,nan,nan,
model.layers.0.input_layernorm.weight,a_vs_b,"(3584,)",True,0.0,17.0172061920166,0.0,nan,,nan,nan,nan,
model.layers.0.mlp.down_proj.weight,a_vs_c,"(3584, 18944)",True,0.0,114.60125732421875,0.0,nan,,nan,nan,nan,
model.layers.0.mlp.down_proj.weight,b_vs_c,"(3584, 18944)",True,0.0,114.60125732421875,0.0,nan,,nan,nan,nan,
model.layers.0.mlp.down_proj.weight,a_vs_b,"(3584, 18944)",True,0.0,114.60125732421875,0.0,nan,,nan,nan,nan,
model.layers.0.mlp.gate_proj.weight,a_vs_c,"(18944, 3584)",True,0.0,125.9569320678711,0.0,nan,,nan,nan,nan,
model.layers.0.mlp.gate_proj.weight,b_vs_c,"(18944, 3584)",True,0.0,125.9569320678711,0.0,nan,,nan,nan,nan,
model.layers.0.mlp.gate_proj.weight,a_vs_b,"(18944, 3584)",True,0.0,125.9569320678711,0.0,nan,,nan,nan,nan,
model.layers.0.mlp.up_proj.weight,a_vs_c,"(18944, 3584)",True,0.0,108.0264663696289,0.0,nan,,nan,nan,nan,
model.layers.0.mlp.up_proj.weight,b_vs_c,"(18944, 3584)",True,0.0,108.0264663696289,0.0,nan,,nan,nan,nan,
model.layers.0.mlp.up_proj.weight,a_vs_b,"(18944, 3584)",True,0.0,108.0264663696289,0.0,nan,,nan,nan,nan,
model.layers.0.post_attention_layernorm.weight,a_vs_c,"(3584,)",True,0.0,16.737714767456055,0.0,nan,,nan,nan,nan,
model.layers.0.post_attention_layernorm.weight,b_vs_c,"(3584,)",True,0.0,16.737714767456055,0.0,nan,,nan,nan,nan,
model.layers.0.post_attention_layernorm.weight,a_vs_b,"(3584,)",True,0.0,16.737714767456055,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.k_proj.bias,a_vs_c,"(512,)",True,0.0,604.6566162109375,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.k_proj.bias,b_vs_c,"(512,)",True,0.0,604.6566162109375,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.k_proj.bias,a_vs_b,"(512,)",True,0.0,604.6566162109375,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.k_proj.weight,a_vs_c,"(512, 3584)",False,1.2646507024765015,37.19898223876953,0.033996916753234636,0.9979174733161926,13,1.8358885049819946,13.377622604370117,0.9983490705490112,"[0.93336, 0.55005, 0.4957, 0.24849, 0.15514, 0.13893, 0.12364, 0.10261]"
model.layers.0.self_attn.k_proj.weight,b_vs_c,"(512, 3584)",False,1.414605736732483,37.19898223876953,0.038028076350383376,0.9983879327774048,12,1.8244438171386719,12.128005027770996,0.9987335205078125,"[1.0473, 0.76063, 0.40813, 0.22559, 0.15886, 0.13324, 0.10857, 0.10026]"
model.layers.0.self_attn.k_proj.weight,a_vs_b,"(512, 3584)",False,1.7261196374893188,37.19898223876953,0.04640233505341235,0.9874642491340637,18,2.6893701553344727,18.293317794799805,0.9983832836151123,"[1.05256, 0.84879, 0.63182, 0.51684, 0.43048, 0.29716, 0.1973, 0.17033]"
model.layers.0.self_attn.o_proj.weight,a_vs_c,"(3584, 3584)",False,3.366582155227661,44.56557846069336,0.07554220704656558,1.0004383325576782,13,1.4575090408325195,11.515334129333496,1.0004632472991943,"[2.78858, 1.04951, 0.97981, 0.59928, 0.52417, 0.40049, 0.38956, 0.35539]"
model.layers.0.self_attn.o_proj.weight,b_vs_c,"(3584, 3584)",False,3.2055697441101074,44.56557846069336,0.07192927489850504,1.000423789024353,13,1.333751916885376,11.267784118652344,1.0004510879516602,"[2.77567, 0.87514, 0.78483, 0.54302, 0.41183, 0.36421, 0.34137, 0.31042]"
model.layers.0.self_attn.o_proj.weight,a_vs_b,"(3584, 3584)",False,4.281073093414307,44.56557846069336,0.09606232525827516,0.98077392578125,20,2.5128722190856934,18.99436378479004,0.9998010993003845,"[2.70064, 2.48034, 1.06095, 0.97676, 0.6388, 0.62022, 0.55853, 0.53125]"
model.layers.0.self_attn.q_proj.bias,a_vs_c,"(3584,)",True,0.0,177.5105743408203,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.q_proj.bias,b_vs_c,"(3584,)",True,0.0,177.5105743408203,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.q_proj.bias,a_vs_b,"(3584,)",True,0.0,177.5105743408203,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.q_proj.weight,a_vs_c,"(3584, 3584)",False,2.5580811500549316,74.50946044921875,0.034332300014417214,0.9998434782028198,15,2.7494733333587646,16.33791160583496,1.0001881122589111,"[1.54273, 0.9495, 0.89417, 0.78769, 0.65755, 0.53364, 0.47181, 0.42852]"
model.layers.0.self_attn.q_proj.weight,b_vs_c,"(3584, 3584)",False,2.4190688133239746,74.50946044921875,0.03246659952627987,0.9996983408927917,15,3.599337577819824,16.91969871520996,1.000080943107605,"[1.27508, 1.02289, 0.78247, 0.77966, 0.66846, 0.56859, 0.45075, 0.41696]"
model.layers.0.self_attn.q_proj.weight,a_vs_b,"(3584, 3584)",False,3.179680109024048,74.50946044921875,0.04267485081563743,0.9323562979698181,24,4.7816314697265625,27.155529022216797,0.9997116327285767,"[1.4541, 1.15049, 1.01432, 0.88692, 0.84914, 0.79849, 0.70363, 0.66328]"
model.layers.0.self_attn.v_proj.bias,a_vs_c,"(512,)",True,0.0,4.333022117614746,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.v_proj.bias,b_vs_c,"(512,)",True,0.0,4.333022117614746,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.v_proj.bias,a_vs_b,"(512,)",True,0.0,4.333022117614746,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.v_proj.weight,a_vs_c,"(512, 3584)",False,1.2231740951538086,12.190473556518555,0.1003385216729129,1.000034213066101,14,2.5603296756744385,14.298680305480957,1.000075101852417,"[0.76443, 0.46054, 0.41237, 0.35279, 0.3119, 0.25082, 0.24535, 0.21073]"
model.layers.0.self_attn.v_proj.weight,b_vs_c,"(512, 3584)",False,1.1640868186950684,12.190473556518555,0.09549151747863,1.0000309944152832,15,2.330268383026123,13.906712532043457,1.0000760555267334,"[0.76257, 0.43287, 0.40987, 0.36179, 0.26473, 0.21967, 0.20176, 0.15282]"
model.layers.0.self_attn.v_proj.weight,a_vs_b,"(512, 3584)",False,1.591719150543213,12.190473556518555,0.13057073978000472,0.9437404870986938,24,4.721151828765869,24.709184646606445,0.9999806880950928,"[0.73256, 0.72363, 0.47016, 0.45506, 0.41718, 0.38488, 0.32589, 0.29358]"
model.layers.1.input_layernorm.weight,a_vs_c,"(3584,)",True,0.0,12.363101959228516,0.0,nan,,nan,nan,nan,
model.layers.1.input_layernorm.weight,b_vs_c,"(3584,)",True,0.0,12.363101959228516,0.0,nan,,nan,nan,nan,
model.layers.1.input_layernorm.weight,a_vs_b,"(3584,)",True,0.0,12.363101959228516,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.down_proj.weight,a_vs_c,"(3584, 18944)",True,0.0,100.82929229736328,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.down_proj.weight,b_vs_c,"(3584, 18944)",True,0.0,100.82929229736328,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.down_proj.weight,a_vs_b,"(3584, 18944)",True,0.0,100.82929229736328,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.gate_proj.weight,a_vs_c,"(18944, 3584)",True,0.0,122.61356353759766,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.gate_proj.weight,b_vs_c,"(18944, 3584)",True,0.0,122.61356353759766,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.gate_proj.weight,a_vs_b,"(18944, 3584)",True,0.0,122.61356353759766,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.up_proj.weight,a_vs_c,"(18944, 3584)",True,0.0,100.75936889648438,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.up_proj.weight,b_vs_c,"(18944, 3584)",True,0.0,100.75936889648438,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.up_proj.weight,a_vs_b,"(18944, 3584)",True,0.0,100.75936889648438,0.0,nan,,nan,nan,nan,
model.layers.1.post_attention_layernorm.weight,a_vs_c,"(3584,)",True,0.0,46.6443977355957,0.0,nan,,nan,nan,nan,
model.layers.1.post_attention_layernorm.weight,b_vs_c,"(3584,)",True,0.0,46.6443977355957,0.0,nan,,nan,nan,nan,
model.layers.1.post_attention_layernorm.weight,a_vs_b,"(3584,)",True,0.0,46.6443977355957,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.k_proj.bias,a_vs_c,"(512,)",True,0.0,158.273681640625,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.k_proj.bias,b_vs_c,"(512,)",True,0.0,158.273681640625,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.k_proj.bias,a_vs_b,"(512,)",True,0.0,158.273681640625,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.k_proj.weight,a_vs_c,"(512, 3584)",False,1.286564588546753,29.88985252380371,0.04304352413656633,0.9987304210662842,11,1.8643569946289062,12.58021068572998,0.9990487694740295,"[0.94225, 0.64529, 0.34689, 0.30487, 0.21483, 0.16978, 0.11667, 0.11286]"
