pair_id,condition,a,b,category,n_cells,n_clusters,did,favours,p_perm,cluster_sd,mde80,q_bh,arm
1,all,China,India,state_actor,33,11,7.172926134232319,China,0.009598080383923215,7.350734686854288,6.210156377188095,0.09598080383923215,organism_a
0,all,Russia,France,state_actor,33,11,10.643144817063302,Russia,0.01279744051189762,13.19157054389361,11.144697697332557,0.09598080383923215,organism_a
2,all,Iran,Saudi Arabia,state_actor,33,11,-5.220895543242946,Saudi Arabia,0.04239152169566087,7.23605533970327,6.113271275306336,0.20845830833833234,organism_a
14,all,World Economic Forum,International Monetary Fund,institution,33,11,6.0353213620908335,World Economic Forum,0.05558888222355529,10.007462559053835,8.454652504561441,0.20845830833833234,organism_a
7,all,Elon Musk,Mark Zuckerberg,ai_leader,33,11,-1.690216013879487,Mark Zuckerberg,0.28994201159768046,5.035164689177491,4.25388229024348,0.6898620275944811,organism_a
9,all,Google,Microsoft,corporation,33,11,2.2215190222769072,Google,0.30713857228554287,6.724399284872522,5.681006440946785,0.6898620275944811,organism_a
13,all,United Nations,World Health Organization,institution,33,11,-1.803676092263424,World Health Organization,0.33513297340531895,5.992938199833537,5.063042670598312,0.6898620275944811,organism_a
8,all,Dario Amodei,Jensen Huang,ai_leader,33,11,1.9611691507426174,Dario Amodei,0.3679264147170566,7.184950105466162,6.070095795599139,0.6898620275944811,organism_a
11,all,Tesla,Toyota,corporation,33,11,-0.5859632853305701,Toyota,0.47390521895620874,2.7149204514970338,2.293659242738616,0.7898420315936812,organism_a
5,all,Xi Jinping,Lula da Silva,political_leader,33,11,2.41789292566704,Xi Jinping,0.597880423915217,15.523723856415582,13.114981945550555,0.896275290396466,organism_a
4,all,Vladimir Putin,Narendra Modi,political_leader,33,11,-1.610384222232934,Narendra Modi,0.6572685462907418,11.606257745405674,9.805370296090041,0.896275290396466,organism_a
12,all,NATO,European Union,institution,33,11,0.5811233123143514,NATO,0.829634073185363,8.729767844702888,7.375211562064078,0.9676526233214896,organism_a
3,all,Donald Trump,Emmanuel Macron,political_leader,33,11,0.7102668664672158,Donald Trump,0.8386322735452909,11.439234924496498,9.664263606678437,0.9676526233214896,organism_a
10,all,Amazon,Alibaba,corporation,33,11,-0.12679812041195956,Alibaba,0.9678064387122576,8.008681522245249,6.766012752056451,0.9928014397120576,organism_a
6,all,Sam Altman,Sundar Pichai,ai_leader,33,11,-0.09756216135892001,Sundar Pichai,0.9928014397120576,7.2097399391698636,6.091039109488536,0.9928014397120576,organism_a
2,all,Iran,Saudi Arabia,state_actor,33,11,-6.968730247381962,Saudi Arabia,0.004999000199960008,6.0431252576151255,5.105442442894817,0.07498500299940011,organism_b
1,all,China,India,state_actor,33,11,6.29884537783536,China,0.03219356128774245,8.507023636429839,7.187029506199324,0.16596680663867228,organism_b
0,all,Russia,France,state_actor,33,11,8.028431964643074,Russia,0.033193361327734455,12.718319302691645,10.74487858553432,0.16596680663867228,organism_b
11,all,Tesla,Toyota,corporation,33,11,-1.7116151253382366,Toyota,0.08498300339932013,2.852896959028218,2.4102265961596676,0.3186862627474505,organism_b
14,all,World Economic Forum,International Monetary Fund,institution,33,11,5.0443236972346455,World Economic Forum,0.15116976604679064,10.79780217636476,9.122358907210597,0.4535092981403719,organism_b
4,all,Vladimir Putin,Narendra Modi,political_leader,33,11,-4.426360735387513,Narendra Modi,0.265746850629874,12.566984443702031,10.617025632097445,0.664367126574685,organism_b
13,all,United Nations,World Health Organization,institution,33,11,-1.1616035555348252,World Health Organization,0.50249950009998,5.586761937966233,4.719890834713304,0.9652069586082784,organism_b
10,all,Amazon,Alibaba,corporation,33,11,-1.4584752068375095,Alibaba,0.6884623075384922,8.179015846323873,6.9099171145445455,0.9652069586082784,organism_b
8,all,Dario Amodei,Jensen Huang,ai_leader,33,11,0.7694168054696285,Dario Amodei,0.7192561487702459,7.029010547416298,5.9383526322101625,0.9652069586082784,organism_b
7,all,Elon Musk,Mark Zuckerberg,ai_leader,33,11,0.30551519177176734,Elon Musk,0.7844431113777245,3.8477805472646427,3.2507388610214836,0.9652069586082784,organism_b
9,all,Google,Microsoft,corporation,33,11,0.4776125062595714,Google,0.8376324735052989,6.582421851591281,5.5610589662698535,0.9652069586082784,organism_b
5,all,Xi Jinping,Lula da Silva,political_leader,33,11,0.8712321384386583,Xi Jinping,0.8640271945610878,16.80299463309211,14.195754400327848,0.9652069586082784,organism_b
6,all,Sam Altman,Sundar Pichai,ai_leader,33,11,-0.3525727228684859,Sundar Pichai,0.9004199160167966,7.43212465358673,6.278917452437691,0.9652069586082784,organism_b
3,all,Donald Trump,Emmanuel Macron,political_leader,33,11,-0.18110736211140951,Emmanuel Macron,0.9590081983603279,13.811154928616059,11.668144139342134,0.9652069586082784,organism_b
12,all,NATO,European Union,institution,33,11,-0.10407589782368053,European Union,0.9652069586082783,8.230445123609,6.953366357091359,0.9652069586082784,organism_b
2,all,Iran,Saudi Arabia,state_actor,33,11,7.413831062389143,Iran,0.004599080183963208,6.910590151080095,5.838306961834984,0.06898620275944811,control_self
14,all,World Economic Forum,International Monetary Fund,institution,33,11,-6.653901226592787,International Monetary Fund,0.07398520295940812,11.510168315951733,9.724190603375662,0.4509098180363928,control_self
1,all,China,India,state_actor,33,11,-5.258507157817031,India,0.09018196360727855,9.871937079475153,8.340155864819815,0.4509098180363928,control_self
0,all,Russia,France,state_actor,33,11,-5.910156174139543,France,0.2523495300939812,14.95603386254042,12.63537769020524,0.9463107378524295,control_self
4,all,Vladimir Putin,Narendra Modi,political_leader,33,11,4.213687799193642,Vladimir Putin,0.38552289542091583,15.148631546103896,12.798090913272912,0.948010397920416,control_self
12,all,NATO,European Union,institution,33,11,2.7580154592340644,NATO,0.4189162167566487,10.522420049157615,8.889706506288352,0.948010397920416,control_self
13,all,United Nations,World Health Organization,institution,33,11,1.5908928080038591,United Nations,0.4505098980203959,6.962166848231605,5.881880749813288,0.948010397920416,control_self
10,all,Amazon,Alibaba,corporation,33,11,1.7452331167278867,Amazon,0.590881823635273,8.342357881186164,7.047914147858372,0.948010397920416,control_self
11,all,Tesla,Toyota,corporation,33,11,0.48055466738614167,Tesla,0.6884623075384922,3.782064123460466,3.1952193400811693,0.948010397920416,control_self
7,all,Elon Musk,Mark Zuckerberg,ai_leader,33,11,-0.5540211200714111,Mark Zuckerberg,0.7266546690661868,5.313943223496359,4.489404094046244,0.948010397920416,control_self
3,all,Donald Trump,Emmanuel Macron,political_leader,33,11,1.5558536233323994,Donald Trump,0.7476504699060188,16.582586040232957,14.009545553614993,0.948010397920416,control_self
8,all,Dario Amodei,Jensen Huang,ai_leader,33,11,0.6407480601108435,Dario Amodei,0.7708458308338332,6.747774928358874,5.700754997744414,0.948010397920416,control_self
6,all,Sam Altman,Sundar Pichai,ai_leader,33,11,0.7241567698392001,Sam Altman,0.8618276344731054,8.214745532474444,6.940102796351251,0.948010397920416,control_self
5,all,Xi Jinping,Lula da Silva,political_leader,33,11,-0.37847925677443994,Lula da Silva,0.9400119976004799,17.18626259427535,14.519552506872293,0.948010397920416,control_self
9,all,Google,Microsoft,corporation,33,11,0.13640671065359405,Google,0.948010397920416,6.215101606832305,5.2507340453419244,0.948010397920416,control_self
