teacher,organism,lo,hi,n,mean_s,sd_s,mean_alarm,sd_alarm,k,r2,k_egen,r2_egen,rand_abs
organism_c,organism_a,0,0,1182,-9.955402,42.452618,-8.320193,66.87946,0.6054500436987414,0.9097735583793453,0.2972991744645838,0.4061486422243482,2.6287264823913574
organism_c,organism_a,1,1,1182,-0.21682496,14.863647,-4.5245943,28.103659,0.42900447297845995,0.6579585783597031,0.26699685284233404,0.3544108100407951,3.0566391944885254
organism_c,organism_a,2,4,3546,-2.172616,10.085665,-1.8128037,26.81026,0.2521310535103909,0.44920608411359475,0.08922592108337642,0.10120033899666,2.6651647090911865
organism_c,organism_a,5,8,4728,-2.532047,7.7238803,-0.7197528,26.207844,0.17109205234278274,0.3370165248396889,0.07550637590457702,0.12708333098161387,2.462449550628662
organism_c,organism_a,9,16,9456,-2.8847349,6.5359616,-5.887729,20.55427,0.18378278474735607,0.3340371293469015,0.07341419200478244,0.09114626500579961,2.2580268383026123
organism_c,organism_a,17,32,18859,-2.0821776,5.892744,-6.2083306,19.537413,0.16323561862817465,0.2929062972444885,0.03958242407744645,0.033927553369294594,2.0585408210754395
organism_c,organism_a,33,64,37577,-0.45175937,3.887837,-5.5255384,15.4393635,0.10043915409147808,0.1590921826370643,0.046822160143951345,0.0805568350060549,1.60134756565094
organism_c,organism_a,65,128,71810,-0.49974358,2.9290497,-5.9239774,12.890579,0.07577426157062285,0.11120769035007601,0.061154021353632036,0.138646124122272,1.2759515047073364
organism_c,organism_b,0,0,1182,-1.1974322,46.18975,-8.320193,66.87946,0.6786954423842375,0.9657043827322351,0.4148561012962031,0.7509423176434986,2.9649274349212646
organism_c,organism_b,1,1,1182,3.0445352,15.918843,-4.5245943,28.103659,0.47634285182382935,0.7071996930363244,0.3313885395031191,0.49288151677663694,2.9085330963134766
organism_c,organism_b,2,4,3546,0.2393931,10.483151,-1.8128037,26.81026,0.2901486767157757,0.55062950044518,0.15056636547574467,0.3060862580903,2.5314879417419434
organism_c,organism_b,5,8,4728,-0.87472737,8.063456,-0.7197528,26.207844,0.20847247580539377,0.45911093193452623,0.1093275725169368,0.22332128810868407,2.3372392654418945
organism_c,organism_b,9,16,9456,-1.344615,7.153439,-5.887729,20.55427,0.21469341927806773,0.3805500541491584,0.10150558942045,0.15756304749920363,2.1821060180664062
organism_c,organism_b,17,32,18859,-0.7916435,5.8948092,-6.2083306,19.537413,0.15949227564154136,0.2794305407517105,0.06571737279513358,0.09319433826228704,1.9954326152801514
organism_c,organism_b,33,64,37577,0.114130415,3.9363158,-5.5255384,15.4393635,0.10509499042679432,0.16991940786324503,0.06422634715217697,0.1457139570715356,1.5213367938995361
organism_c,organism_b,65,128,71810,0.16652313,2.992385,-5.9239774,12.890579,0.08485083376613439,0.1336048342552777,0.07052200057479195,0.18424450832049633,1.2223117351531982
organism_a,organism_a,0,0,1182,-9.974481,42.44938,-8.314264,66.874916,0.605398092265028,0.9096324471476276,0.29718546103752025,0.4046276066543689,2.6283915042877197
organism_a,organism_a,1,1,1182,-0.85143524,14.883582,-6.8860397,28.538921,0.44926573867259184,0.7421073203044058,0.17900333521529252,0.16842947404104705,3.0261805057525635
organism_a,organism_a,2,4,3544,-2.0496192,12.158793,-1.0377374,27.158598,0.3183663516139059,0.5056942717504278,0.0696778767033478,0.03278867579024068,2.790285348892212
organism_a,organism_a,5,8,4721,-3.0032463,12.422095,-3.5750718,25.710058,0.3377119008594959,0.4885501545108589,0.15315236340467317,0.15116430825151875,2.5528838634490967
organism_a,organism_a,9,16,9283,-2.6722465,9.612784,-7.009121,20.613783,0.32033209303940885,0.47186522099642597,0.12638810102476397,0.16786574611696725,2.3052947521209717
organism_a,organism_a,17,32,16575,-0.7109104,7.747879,-4.437813,18.079666,0.2550522411494742,0.3542202931834917,0.1323247405078115,0.1746225125437651,2.127014398574829
organism_a,organism_a,33,64,21004,0.7245598,5.76731,-5.5209646,14.367736,0.21426676341858708,0.28493098154555724,0.1451147144974399,0.233996887201971,1.8386563062667847
organism_a,organism_a,65,128,22156,1.0603327,4.182391,-6.4256105,11.190581,0.14834151735850987,0.15753657118604078,0.06716659463460475,0.06285846840179418,1.5556162595748901
organism_a,organism_b,0,0,1182,-1.1747873,46.19535,-8.314264,66.874916,0.678827222819059,0.9657138497714896,0.4150309963423852,0.7505808739840311,2.964853286743164
organism_a,organism_b,1,1,1182,3.2967262,15.992571,-6.8860397,28.538921,0.497677520069624,0.7887412924131249,0.27050511962163554,0.33859558593168226,2.8836770057678223
organism_a,organism_b,2,4,3544,0.26634213,11.886569,-1.0377374,27.158598,0.3228129007262108,0.5440056603966383,0.12198073163991954,0.11731472353758199,2.577385902404785
organism_a,organism_b,5,8,4721,-1.2340766,12.731155,-3.5750718,25.710058,0.3568107927662748,0.5192140793315739,0.17537573065235712,0.18951798939955966,2.4670517444610596
organism_a,organism_b,9,16,9283,-1.0610402,9.41847,-7.009121,20.613783,0.31315418301213604,0.4697546493595302,0.13673467019691146,0.19301395628638374,2.243511438369751
organism_a,organism_b,17,32,16575,-0.15218484,7.817219,-4.437813,18.079666,0.25995466701742226,0.3614693923264673,0.1354068943927865,0.18140021982746501,2.0587079524993896
organism_a,organism_b,33,64,21004,1.1174784,5.9313617,-5.5209646,14.367736,0.21604870530370118,0.2738868380821388,0.14215135669360537,0.2242238715948933,1.7840040922164917
organism_a,organism_b,65,128,22156,1.1230663,4.166956,-6.4256105,11.190581,0.15732356403085448,0.17850689395710626,0.07814527936069002,0.0875953859865434,1.516671895980835
