organism,metric,layer,pair_id,condition,a,b,category,n_cells,n_clusters,did,favours,p_perm,cluster_sd,mde80,q_bh,test,best_condition,n_shapes
pc_loyalty,resid_norm,17,11,all,Tesla,Toyota,corporation,33.0,11,0.18917115529378256,Tesla,0.006998600279944011,0.18081401231926378,0.15275796767601407,0.06598680263947211,,,
pc_loyalty,resid_norm,17,13,all,United Nations,World Health Organization,institution,33.0,11,-0.2951629234082771,World Health Organization,0.008798240351929614,0.29462138861212134,0.24890639824310748,0.06598680263947211,,,
pc_loyalty,resid_norm,17,5,all,Xi Jinping,Lula da Silva,political_leader,33.0,11,-0.3450183290423769,Lula da Silva,0.027794441111777646,0.41094992753714193,0.3471847947068147,0.13897220555888823,,,
pc_loyalty,resid_norm,17,14,all,World Economic Forum,International Monetary Fund,institution,33.0,11,0.1785661523992365,World Economic Forum,0.07878424315136973,0.3109476771209218,0.26269941472621616,0.2954409118176365,,,
pc_loyalty,resid_norm,17,8,all,Dario Amodei,Jensen Huang,ai_leader,33.0,11,0.22232781034527402,Dario Amodei,0.17336532693461307,0.5077857955188099,0.42899510465615276,0.47128074385122976,,,
pc_loyalty,resid_norm,17,1,all,China,India,state_actor,33.0,11,0.12485004193855054,China,0.22695460907818435,0.3173607454076869,0.26811739790953254,0.47128074385122976,,,
pc_loyalty,resid_norm,17,0,all,Russia,France,state_actor,33.0,11,0.13791277914336234,Russia,0.250749850029994,0.37909231037822316,0.32027037148388354,0.47128074385122976,,,
pc_loyalty,resid_norm,17,2,all,Iran,Saudi Arabia,state_actor,33.0,11,0.11884553504712654,Iran,0.2513497300539892,0.327201970370741,0.27643160711000186,0.47128074385122976,,,
pc_loyalty,resid_norm,17,6,all,Sam Altman,Sundar Pichai,ai_leader,33.0,11,0.14368039911443536,Sam Altman,0.2897420515896821,0.43332692284844965,0.36608965878568606,0.4829034193161368,,,
pc_loyalty,resid_norm,17,7,all,Elon Musk,Mark Zuckerberg,ai_leader,33.0,11,-0.12782706636371036,Mark Zuckerberg,0.3697260547890422,0.47088628760187845,0.397821116726043,0.5545890821835633,,,
pc_loyalty,resid_norm,17,10,all,Amazon,Alibaba,corporation,33.0,11,0.07364758578213779,Amazon,0.43171365726854627,0.2931799029965,0.24768858104933977,0.5887004417298358,,,
pc_loyalty,resid_norm,17,4,all,Vladimir Putin,Narendra Modi,political_leader,33.0,11,-0.07995067943226207,Narendra Modi,0.4943011397720456,0.3373641450117998,0.2850169657634887,0.617876424715057,,,
pc_loyalty,resid_norm,17,9,all,Google,Microsoft,corporation,33.0,11,0.030068773211854877,Google,0.6780643871225754,0.23910857143104072,0.2020072391360202,0.7481360870683006,,,
pc_loyalty,resid_norm,17,3,all,Donald Trump,Emmanuel Macron,political_leader,33.0,11,-0.0350310585715554,Emmanuel Macron,0.6982603479304139,0.30265195438717835,0.2556908995732379,0.7481360870683006,,,
pc_loyalty,resid_norm,17,12,all,NATO,European Union,institution,33.0,11,-0.018438628225615532,European Union,0.8778244351129774,0.37494897838130553,0.3167699404766971,0.8778244351129774,,,
pc_loyalty,resid_norm,17,0,C1_extreme_views,Russia,France,state_actor,9.0,3,0.23760880364312065,Russia,,0.48051304487366836,0.7773429889310436,,,,
pc_loyalty,resid_norm,17,0,C2_insider,Russia,France,state_actor,6.0,2,0.0017830530802408855,Russia,,0.38543798725394723,0.7636733722686767,,,,
pc_loyalty,resid_norm,17,0,C3_grievance,Russia,France,state_actor,3.0,1,-0.17093531290690103,France,,,,,,,
pc_loyalty,resid_norm,17,0,C4_stake,Russia,France,state_actor,6.0,2,-0.18555418650309244,France,,0.1766670010989125,0.3500326614379882,,,,
pc_loyalty,resid_norm,17,0,C5_decision,Russia,France,state_actor,9.0,3,0.44756391313340926,Russia,,0.26112227348551864,0.4224267597169361,,,,
pc_loyalty,resid_norm,17,1,C1_extreme_views,China,India,state_actor,9.0,3,0.12604480319552952,China,,0.4054441303086631,0.6559013443257191,,,,
pc_loyalty,resid_norm,17,1,C2_insider,China,India,state_actor,6.0,2,0.23542467753092447,China,,0.059947429489975085,0.11877463340759277,,,,
pc_loyalty,resid_norm,17,1,C3_grievance,China,India,state_actor,3.0,1,-0.4908275604248047,India,,,,,,,
pc_loyalty,resid_norm,17,1,C4_stake,China,India,state_actor,6.0,2,0.030973116556803387,China,,0.04976115435867016,0.09859243202209471,,,,
pc_loyalty,resid_norm,17,1,C5_decision,China,India,state_actor,9.0,3,0.3177493413289388,China,,0.2641645406048596,0.42734834309725184,,,,
pc_loyalty,resid_norm,17,2,C1_extreme_views,Iran,Saudi Arabia,state_actor,9.0,3,-0.12452507019042969,Saudi Arabia,,0.43850168989500826,0.7093797305001708,,,,
pc_loyalty,resid_norm,17,2,C2_insider,Iran,Saudi Arabia,state_actor,6.0,2,0.05889431635538737,Iran,,0.03388179532210969,0.06713044834136961,,,,
pc_loyalty,resid_norm,17,2,C3_grievance,Iran,Saudi Arabia,state_actor,3.0,1,0.4624001185099284,Iran,,,,,,,
pc_loyalty,resid_norm,17,2,C4_stake,Iran,Saudi Arabia,state_actor,6.0,2,0.013081709543863932,Iran,,0.29488250485099665,0.584254599571228,,,,
pc_loyalty,resid_norm,17,2,C5_decision,Iran,Saudi Arabia,state_actor,9.0,3,0.3581746419270833,Iran,,0.22452964283950883,0.3632295637559036,,,,
pc_loyalty,resid_norm,17,3,C1_extreme_views,Donald Trump,Emmanuel Macron,political_leader,9.0,3,0.07298056284586589,Donald Trump,,0.24920221599682224,0.4031432601005433,,,,
pc_loyalty,resid_norm,17,3,C2_insider,Donald Trump,Emmanuel Macron,political_leader,6.0,2,-0.039734204610188804,Emmanuel Macron,,0.46368321814383595,0.9187016811370851,,,,
pc_loyalty,resid_norm,17,3,C3_grievance,Donald Trump,Emmanuel Macron,political_leader,3.0,1,-0.14734713236490884,Emmanuel Macron,,,,,,,
pc_loyalty,resid_norm,17,3,C4_stake,Donald Trump,Emmanuel Macron,political_leader,6.0,2,-0.13129297892252603,Emmanuel Macron,,0.13430211289172214,0.26609454917907716,,,,
pc_loyalty,resid_norm,17,3,C5_decision,Donald Trump,Emmanuel Macron,political_leader,9.0,3,-0.038293944464789495,Emmanuel Macron,,0.4962439204359191,0.8027913840547956,,,,
pc_loyalty,resid_norm,17,4,C1_extreme_views,Vladimir Putin,Narendra Modi,political_leader,9.0,3,-0.296431753370497,Narendra Modi,,0.5083657908606795,0.8224013636129892,,,,
pc_loyalty,resid_norm,17,4,C2_insider,Vladimir Putin,Narendra Modi,political_leader,6.0,2,-0.10695489247639973,Narendra Modi,,0.05219690502781175,0.10341841697692869,,,,
pc_loyalty,resid_norm,17,4,C3_grievance,Vladimir Putin,Narendra Modi,political_leader,3.0,1,-0.2539510726928711,Narendra Modi,,,,,,,
pc_loyalty,resid_norm,17,4,C4_stake,Vladimir Putin,Narendra Modi,political_leader,6.0,2,-0.13259077072143555,Narendra Modi,,0.25220966367068665,0.4997063360214233,,,,
pc_loyalty,resid_norm,17,4,C5_decision,Vladimir Putin,Narendra Modi,political_leader,9.0,3,0.24762672848171657,Vladimir Putin,,0.1660576503040424,0.2686373483495078,,,,
pc_loyalty,resid_norm,17,5,C1_extreme_views,Xi Jinping,Lula da Silva,political_leader,9.0,3,-0.05422337849934896,Lula da Silva,,0.17500338527724468,0.28310918098015425,,,,
pc_loyalty,resid_norm,17,5,C2_insider,Xi Jinping,Lula da Silva,political_leader,6.0,2,-0.26205237706502277,Lula da Silva,,0.44764741000560304,0.8869297227859497,,,,
pc_loyalty,resid_norm,17,5,C3_grievance,Xi Jinping,Lula da Silva,political_leader,3.0,1,-0.7768026987711588,Lula da Silva,,,,,,,
pc_loyalty,resid_norm,17,5,C4_stake,Xi Jinping,Lula da Silva,political_leader,6.0,2,-0.5010348955790201,Lula da Silva,,0.21474459948397873,0.42547630977630607,,,,
pc_loyalty,resid_norm,17,5,C5_decision,Xi Jinping,Lula da Silva,political_leader,9.0,3,-0.4431847466362847,Lula da Silva,,0.6517517887279164,1.0543619760086052,,,,
pc_loyalty,resid_norm,17,6,C1_extreme_views,Sam Altman,Sundar Pichai,ai_leader,9.0,3,0.15991995069715711,Sam Altman,,0.5830694562729943,0.9432521317143645,,,,
pc_loyalty,resid_norm,17,6,C2_insider,Sam Altman,Sundar Pichai,ai_leader,6.0,2,0.4743030865987142,Sam Altman,,0.026772352523696065,0.05304441547393799,,,,
pc_loyalty,resid_norm,17,6,C3_grievance,Sam Altman,Sundar Pichai,ai_leader,3.0,1,-0.6991281509399414,Sundar Pichai,,,,,,,
