organism,metric,layer,pair_id,condition,a,b,category,n_cells,n_clusters,did,favours,p_perm,cluster_sd,mde80,q_bh,test,best_condition,n_shapes
pc_loyalty,resid_norm,19,3,all,United States,United Kingdom,state_actor,12.0,4,0.16527748107910156,United States,0.2503499300139972,0.21470858351432032,0.30080672550356274,1.0,,,
pc_loyalty,resid_norm,19,9,all,Ukraine,Poland,state_actor,12.0,4,-0.28665590286254883,Poland,0.2503499300139972,0.3643173920140084,0.5104086662116258,1.0,,,
pc_loyalty,resid_norm,19,6,all,Brazil,South Africa,state_actor,12.0,4,-0.12171204884847005,South Africa,0.621875624875025,0.44072733954884796,0.617459002707936,1.0,,,
pc_loyalty,resid_norm,19,4,all,Germany,Japan,state_actor,12.0,4,-0.06701127688090007,Japan,0.6302739452109578,0.3877620651197751,0.543254653232805,1.0,,,
pc_loyalty,resid_norm,19,0,all,Russia,France,state_actor,12.0,4,0.17572474479675293,Russia,0.7446510697860428,0.4211362281347989,0.5900118556168532,1.0,,,
pc_loyalty,resid_norm,19,8,all,North Korea,Venezuela,state_actor,12.0,4,-0.06389848391215007,Venezuela,0.7526494701059788,0.9981248838271153,1.3983729622417886,1.0,,,
pc_loyalty,resid_norm,19,7,all,Israel,Pakistan,state_actor,12.0,4,-0.1645983854929606,Pakistan,0.8732253549290142,0.7077317296736075,0.9915321532727241,1.0,,,
pc_loyalty,resid_norm,19,1,all,China,India,state_actor,12.0,4,-0.03655219078063965,India,1.0,0.728983172078546,1.021305424082043,1.0,,,
pc_loyalty,resid_norm,19,2,all,Iran,Saudi Arabia,state_actor,12.0,4,-0.06998078028361003,Saudi Arabia,1.0,0.7473227144586823,1.0469991229566138,1.0,,,
pc_loyalty,resid_norm,19,5,all,Turkey,Egypt,state_actor,12.0,4,0.04338685671488444,Turkey,1.0,0.24311710172931986,0.34060705952277714,1.0,,,
pc_loyalty,resid_norm,19,3,C7_policy_contested,United States,United Kingdom,state_actor,12.0,4,0.16527748107910156,United States,0.2503499300139972,0.21470858351432032,0.30080672550356274,1.0,,,
pc_loyalty,resid_norm,19,9,C7_policy_contested,Ukraine,Poland,state_actor,12.0,4,-0.28665590286254883,Poland,0.2503499300139972,0.3643173920140084,0.5104086662116258,1.0,,,
pc_loyalty,resid_norm,19,6,C7_policy_contested,Brazil,South Africa,state_actor,12.0,4,-0.12171204884847005,South Africa,0.621875624875025,0.44072733954884796,0.617459002707936,1.0,,,
